TreeID,qSpecies,qAddress,SiteOrder,qSiteInfo,PlantDate,year,DBH,Latitude,Longitude
53731,Callistemon citrinus :: Lemon Bottlebrush,137 Topeka Ave,1,Sidewalk: Curb side : Cutout,1/7/72,1972,11,37.73376323,-122.3987641
53874,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',901 California St,1,Sidewalk: Curb side : Cutout,2/22/72,1972,13,37.79186543,-122.4098199
53821,Magnolia grandiflora :: Southern Magnolia,2864 Jackson St,1,Sidewalk: Curb side : Cutout,2/23/72,1972,11,37.79156004,-122.4422245
53819,Metrosideros excelsa :: New Zealand Xmas Tree,2838 Jackson St,1,Sidewalk: Curb side : Cutout,2/23/72,1972,16,37.79160434,-122.4419084
53852,Ligustrum japonicum :: Japanese Privet,566 Bush St,1,Sidewalk: Curb side : Cutout,3/1/72,1972,7,37.79050716,-122.4066515
53881,Pittosporum undulatum :: Victorian Box,2715 Sutter St,1,Sidewalk: Curb side : Cutout,3/6/72,1972,21,37.78450958,-122.4451527
53904,Metrosideros excelsa :: New Zealand Xmas Tree,1075 Goettingen St,1,Sidewalk: Curb side : Cutout,3/10/72,1972,15,37.71878698,-122.4031436
53879,Metrosideros excelsa :: New Zealand Xmas Tree,1087 Goettingen St,1,Sidewalk: Curb side : Cutout,3/10/72,1972,11,37.7186698,-122.4030909
53932,Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,140 09th Ave,1,Sidewalk: Curb side : Cutout,3/27/72,1972,1,37.78568176,-122.4677648
53933,Schinus terebinthifolius :: Brazilian Pepper,144 09th Ave,1,Sidewalk: Curb side : Cutout,3/27/72,1972,17,37.78561662,-122.4677676
54010,Ginkgo biloba :: Maidenhair Tree,1537 18th St,1,Sidewalk: Curb side : Cutout,4/6/72,1972,5,37.76240842,-122.3982067
53974,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',985 Pine St,1,Sidewalk: Curb side : Cutout,4/6/72,1972,4,37.79064272,-122.4119469
54014,Pseudotsuga menziesii :: Douglas Fir,827 35th Ave,1,Sidewalk: Curb side : Cutout,4/7/72,1972,5,37.77336432,-122.495086
54023,Tristaniopsis laurina :: Swamp Myrtle,894 35th Ave,1,Sidewalk: Curb side : Cutout,4/7/72,1972,8,37.7722567,-122.4948388
54046,Arbutus 'Marina' :: Hybrid Strawberry Tree,3545 Webster St,1,Sidewalk: Curb side : Cutout,4/18/72,1972,6,37.80350103,-122.4351821
54052,Metrosideros excelsa :: New Zealand Xmas Tree,284 O'Farrell St,1,Sidewalk: Curb side : Cutout,4/18/72,1972,12,37.78631635,-122.4093536
54044,Olea europaea :: Olive Tree,1802 Laguna St,1,Sidewalk: Curb side : Cutout,4/18/72,1972,10,37.7878228,-122.428484
54039,Pittosporum undulatum :: Victorian Box,2813 Scott St,1,Sidewalk: Curb side : Cutout,4/18/72,1972,11,37.79593942,-122.4404032
54041,Pittosporum undulatum :: Victorian Box,2855 Scott St,1,Sidewalk: Curb side : Cutout,4/18/72,1972,14,37.79616997,-122.4404445
54042,Platanus x hispanica :: Sycamore: London Plane,2500 Green St,1,Sidewalk: Curb side : Cutout,4/18/72,1972,14,37.79557371,-122.4403836
54056,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',839 35th Ave,1,Sidewalk: Curb side : Cutout,4/21/72,1972,12,37.77319244,-122.4950671
