TreeID,qSpecies,type,qAddress,SiteOrder,qSiteInfo,PlantDate,year,DBH,Latitude,Longitude
39589,Archontophoenix cunninghamiana :: King Palm,palm,1108 Rhode Island St,1,Sidewalk: Curb side : Cutout,12/29/98,1998,8,37.75583411,-122.4018195
36678,Arecastrum romanzoffianum :: Queen Palm,palm,99X ALBION ST,2,Sidewalk: Curb side : Cutout,5/22/98,1998,16,37.76565186,-122.4231995
36677,Arecastrum romanzoffianum :: Queen Palm,palm,99X ALBION ST,5,Sidewalk: Curb side : Cutout,5/22/98,1998,16,37.76565186,-122.4231995
97103,Arecastrum romanzoffianum :: Queen Palm,palm,882 York St,1,Sidewalk: Curb side : Cutout,4/27/07,2007,14,37.75792374,-122.4087309
82202,Arecastrum romanzoffianum :: Queen Palm,palm,3170-3172 25th St,1,Sidewalk: Curb side : Cutout,1/8/08,2008,10,37.75101124,-122.4133106
120514,Arecastrum romanzoffianum :: Queen Palm,palm,888 Brannan St,9,Sidewalk: Curb side : Cutout,1/5/17,2017,3,37.77199994,-122.4052722
110980,Brahea edulis :: Guadalupe Palm,palm,1245 Alabama St,2,Sidewalk: Curb side : Cutout,7/3/18,2018,3,37.75198892,-122.4107541
88563,Caryota maxima 'Himalaya' :: Himalayan Fishtail Palm,palm,2100 Bay St,2,Sidewalk: Curb side : Cutout,7/25/08,2008,14,37.80208546,-122.4418366
639,Chamaerops humilis :: Mediterranean Fan Palm,palm,3203 24th St,3,Sidewalk: Curb side : Cutout,4/1/91,1991,18,37.75228421,-122.4166028
27652,Chamaerops humilis :: Mediterranean Fan Palm,palm,2830 Sloat Blvd,1,Median : Cutout,6/6/99,1999,12,37.7356291,-122.5045407
16245,Chamaerops humilis :: Mediterranean Fan Palm,palm,601X Monterey Blvd,1,Median : Cutout,2/2/03,2003,12,37.73154558,-122.4494033
16311,Chamaerops humilis :: Mediterranean Fan Palm,palm,700X Monterey Blvd,3,Median : Cutout,2/2/03,2003,3,37.73153217,-122.4515203
29708,Chamaerops humilis :: Mediterranean Fan Palm,palm,1534X Guerrero St,3,Median : Cutout,3/30/06,2006,6,37.74668575,-122.4223363
29707,Chamaerops humilis :: Mediterranean Fan Palm,palm,1594X Guerrero St,2,Median : Cutout,3/30/06,2006,3,37.74578548,-122.4222463
29706,Chamaerops humilis :: Mediterranean Fan Palm,palm,1594X Guerrero St,1,Median : Cutout,3/30/06,2006,3,37.74576048,-122.4222511
54528,Cordyline australis :: Dracena Palm,palm,4650 Balboa St,1,Sidewalk: Curb side : Cutout,7/31/72,1972,21,37.77526946,-122.5089068
54767,Cordyline australis :: Dracena Palm,palm,198 Nueva Ave,1,Sidewalk: Curb side : Cutout,8/9/72,1972,7,37.71132839,-122.397397
57250,Cordyline australis :: Dracena Palm,palm,115 Athens St,1,Sidewalk: Curb side : Cutout,1/10/75,1975,12,37.72602197,-122.4250402
62589,Cordyline australis :: Dracena Palm,palm,3608 Balboa St,1,Sidewalk: Curb side : Cutout,2/7/86,1986,5,37.77577929,-122.4975876
65606,Cordyline australis :: Dracena Palm,palm,142 Maynard St,1,Sidewalk: Curb side : Cutout,2/6/90,1990,47,37.72927979,-122.4272909
37118,Cordyline australis :: Dracena Palm,palm,4542 Irving St,2,Sidewalk: Curb side : Cutout,6/1/98,1998,3,37.76232329,-122.5069127
38343,Cordyline australis :: Dracena Palm,palm,1642 45th Ave,1,Sidewalk: Curb side : Cutout,7/29/98,1998,6,37.7559419,-122.5044579
38375,Cordyline australis :: Dracena Palm,palm,3809 Noriega St,1,Sidewalk: Curb side : Cutout,8/3/98,1998,2,37.75289716,-122.5045826
41215,Cordyline australis :: Dracena Palm,palm,1410 Jefferson St,1,Sidewalk: Curb side : Cutout,11/30/99,1999,3,37.80574217,-122.4358104
48773,Cordyline australis :: Dracena Palm,palm,7777 Geary Blvd,1,Sidewalk: Curb side : Cutout,10/22/02,2002,20,37.77914986,-122.5028242
51296,Cordyline australis :: Dracena Palm,palm,400 Kansas St,2,Sidewalk: Curb side : Cutout,9/2/04,2004,6,37.76446053,-122.4036176
29709,Cordyline australis :: Dracena Palm,palm,1594X Guerrero St,4,Median : Cutout,3/30/06,2006,6,37.74588167,-122.4222597
