TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,year,DBH,PlotSize,Latitude,Longitude
53515,DPW Maintained,Syagrus romanzoffianum :: Queen Palm,444 Brannan St,1,Sidewalk: Curb side : Cutout,Private,11/10/69,1969,15,,37.77923529,-122.3955489
53588,DPW Maintained,Syagrus romanzoffianum :: Queen Palm,1409 Polk St,1,Sidewalk: Curb side : Cutout,Private,12/16/69,1969,9,,37.78978942,-122.4206091
54528,DPW Maintained,Cordyline australis :: Dracena Palm,4650 Balboa St,1,Sidewalk: Curb side : Cutout,Private,7/31/72,1972,21,,37.77526946,-122.5089068
54767,DPW Maintained,Cordyline australis :: Dracena Palm,198 Nueva Ave,1,Sidewalk: Curb side : Cutout,Private,8/9/72,1972,7,3x3,37.71132839,-122.397397
57250,DPW Maintained,Cordyline australis :: Dracena Palm,115 Athens St,1,Sidewalk: Curb side : Cutout,Private,1/10/75,1975,12,,37.72602197,-122.4250402
57900,DPW Maintained,Trachycarpus fortunei :: Windmill Palm,1324 Hayes St,1,Sidewalk: Curb side : Cutout,Private,6/9/77,1977,5,,37.77501284,-122.4382793
60384,DPW Maintained,Prunus domestica 'Mariposa' :: Mariposa Plum,1400 Palou Ave,1,Sidewalk: Curb side : Cutout,Private,10/26/82,1982,4,,37.73203368,-122.387308
59216,Permitted Site,Syagrus romanzoffianum :: Queen Palm,42 Landers St,1,Sidewalk: Curb side : Cutout,Private,6/13/83,1983,16,3x3,37.7671114,-122.4278899
62589,DPW Maintained,Cordyline australis :: Dracena Palm,3608 Balboa St,1,Sidewalk: Curb side : Cutout,Private,2/7/86,1986,5,,37.77577929,-122.4975876
62590,DPW Maintained,Syagrus romanzoffianum :: Queen Palm,3550 Cabrillo St,1,Sidewalk: Curb side : Cutout,Private,2/7/86,1986,12,,37.77394744,-122.496739
62605,DPW Maintained,Syagrus romanzoffianum :: Queen Palm,799 37th Ave,1,Sidewalk: Curb side : Cutout,Private,2/7/86,1986,14,,37.77400639,-122.4971142
62745,DPW Maintained,Washingtonia robusta :: Mexican Fan Palm,121 07th St,1,Sidewalk: Curb side : Cutout,Private,6/5/86,1986,13,,37.77856974,-122.4099485
63197,DPW Maintained,Trachycarpus fortunei :: Windmill Palm,472 37th Ave,1,Sidewalk: Curb side : Cutout,Private,12/18/86,1986,14,,37.7799495,-122.4975445
65606,DPW Maintained,Cordyline australis :: Dracena Palm,142 Maynard St,1,Sidewalk: Curb side : Cutout,Private,2/6/90,1990,47,,37.72927979,-122.4272909
65602,DPW Maintained,Trachycarpus fortunei :: Windmill Palm,114 Maynard St,1,Sidewalk: Curb side : Cutout,Private,2/6/90,1990,13,,37.7292525,-122.4278776
59260,DPW Maintained,Syagrus romanzoffianum :: Queen Palm,1400 Polk St,1,Sidewalk: Curb side : Cutout,Private,3/13/90,1990,8,,37.78974814,-122.4204377
5446,DPW Maintained,Phoenix canariensis :: Canary Island Date Palm,500X Dolores St,14,Median : Cutout,DPW,3/20/90,1990,90,6,37.76141276,-122.4261813
639,DPW Maintained,Chamaerops humilis :: Mediterranean Fan Palm,3203 24th St,3,Sidewalk: Curb side : Cutout,Private,4/1/91,1991,18,3X3,37.75228421,-122.4166028
637,Permitted Site,Washingtonia robusta :: Mexican Fan Palm,3205 24TH ST,1,Sidewalk: Curb side : Cutout,Private,4/1/91,1991,18,3X3,37.75230804,-122.4164088
15487,DPW Maintained,Washingtonia robusta :: Mexican Fan Palm,2637 Mission St,1,Sidewalk: Curb side : Cutout,DPW,8/13/92,1992,12,4X4,37.75479055,-122.4185938
666,DPW Maintained,Washingtonia robusta :: Mexican Fan Palm,3297X 24th St,2,Sidewalk: Curb side : Cutout,DPW,9/10/92,1992,18,4x4,37.75217377,-122.418389
15470,DPW Maintained,Washingtonia robusta :: Mexican Fan Palm,2467 Mission St,1,Sidewalk: Curb side : Cutout,Private,10/10/92,1992,12,4X4,37.75760639,-122.4188659
15450,DPW Maintained,Washingtonia robusta :: Mexican Fan Palm,2301 Mission St,1,Sidewalk: Curb side : Cutout,DPW,10/10/92,1992,12,4x4,37.76003136,-122.4190938
15453,DPW Maintained,Washingtonia robusta :: Mexican Fan Palm,2365 Mission St,1,Sidewalk: Curb side : Cutout,DPW,10/10/92,1992,12,4X4,37.7590664,-122.4190007
4167,DPW Maintained,Trachycarpus fortunei :: Windmill Palm,3781 Cesar Chavez St,1,Sidewalk: Curb side : Cutout,DPW,1/4/93,1993,12,3X3,37.74779535,-122.424298
25500,DPW Maintained,Phoenix canariensis :: Canary Island Date Palm,1745X Market St,5,Median : Cutout,DPW,4/1/93,1993,24,20,37.77240684,-122.4227718
25503,DPW Maintained,Phoenix canariensis :: Canary Island Date Palm,1900X Market St,3,Median : Cutout,DPW,4/1/93,1993,36,8,37.77024805,-122.4254818
25501,DPW Maintained,Phoenix canariensis :: Canary Island Date Palm,1900X Market St,1,Median : Cutout,DPW,4/1/93,1993,36,8,37.77035002,-122.4253557
25507,DPW Maintained,Phoenix canariensis :: Canary Island Date Palm,1998X Market St,7,Median : Cutout,DPW,4/1/93,1993,36,8,37.76966341,-122.4263625
25519,DPW Maintained,Phoenix canariensis :: Canary Island Date Palm,2100X Market St,6,Median : Cutout,DPW,4/1/93,1993,36,10,37.76681705,-122.4297887
25516,DPW Maintained,Phoenix canariensis :: Canary Island Date Palm,2190X Market St,3,Median : Cutout,DPW,4/1/93,1993,36,10,37.76624732,-122.4305194
25537,DPW Maintained,Phoenix canariensis :: Canary Island Date Palm,2200X Market St,3,Median : Cutout,DPW,4/1/93,1993,36,20,37.76522364,-122.4318009
25539,DPW Maintained,Phoenix canariensis :: Canary Island Date Palm,2200X Market St,5,Median : Cutout,DPW,4/1/93,1993,36,20,37.76504358,-122.4320389
25540,DPW Maintained,Phoenix canariensis :: Canary Island Date Palm,2200X Market St,6,Median : Cutout,DPW,4/1/93,1993,36,20,37.76498181,-122.4321136
25530,DPW Maintained,Phoenix canariensis :: Canary Island Date Palm,2300X Market St,5,Median : Cutout,DPW,4/1/93,1993,36,10,37.7635127,-122.4339696
25534,DPW Maintained,Phoenix canariensis :: Canary Island Date Palm,2300X Market St,9,Median : Cutout,DPW,4/1/93,1993,36,10,37.76325553,-122.4343117
25527,DPW Maintained,Phoenix canariensis :: Canary Island Date Palm,2300X Market St,2,Median : Cutout,DPW,4/1/93,1993,36,10,37.76371934,-122.4337367
69360,DPW Maintained,Phoenix dactylifera :: Date Palm,1695 North Point St,1,Sidewalk: Curb side : Cutout,Private,4/18/94,1994,4,,37.80376947,-122.4350084
68083,DPW Maintained,Syagrus romanzoffianum :: Queen Palm,406 Capistrano Ave,1,Sidewalk: Curb side : Cutout,Private,5/24/94,1994,14,,37.72538232,-122.4389067
27852,Permitted Site,Phoenix canariensis :: Canary Island Date Palm,100 The Embarcadero,7,Median : Cutout,Port,7/15/94,1994,12,3X3,37.78053754,-122.3888809
27845,Permitted Site,Phoenix canariensis :: Canary Island Date Palm,280 The Embarcadero,6,Median : Cutout,Port,7/15/94,1994,36,,37.79748662,-122.3958332
27842,Permitted Site,Phoenix canariensis :: Canary Island Date Palm,280 The Embarcadero,3,Median : Cutout,Port,7/15/94,1994,36,,37.79748662,-122.3958332
27827,Permitted Site,Phoenix canariensis :: Canary Island Date Palm,280 The Embarcadero,1,Median : Cutout,Port,7/15/94,1994,36,,37.79748662,-122.3958332
27841,Permitted Site,Phoenix canariensis :: Canary Island Date Palm,280 The Embarcadero,2,Median : Cutout,Port,7/15/94,1994,36,,37.79748662,-122.3958332
27846,Permitted Site,Phoenix canariensis :: Canary Island Date Palm,280 The Embarcadero,7,Median : Cutout,Port,7/15/94,1994,36,,37.79748662,-122.3958332
15543,DPW Maintained,Washingtonia robusta :: Mexican Fan Palm,2830 Mission St,1,Sidewalk: Curb side : Cutout,Private,9/8/94,1994,18,3X3,37.75171691,-122.4185182
21870,DPW Maintained,Washingtonia robusta :: Mexican Fan Palm,1900 03rd St,12,Sidewalk: Curb side : Cutout,DPW,1/25/95,1995,3,3X3,37.76562276,-122.3891199
21880,DPW Maintained,Washingtonia robusta :: Mexican Fan Palm,1900 03rd St,22,Sidewalk: Curb side : Cutout,DPW,1/25/95,1995,3,3X3,37.76500059,-122.38906
4224,DPW Maintained,Syagrus romanzoffianum :: Queen Palm,3978 Cesar Chavez St,1,Sidewalk: Curb side : Cutout,Private,4/15/95,1995,3,3X3,37.74765561,-122.4287074
15689,DPW Maintained,Syagrus romanzoffianum :: Queen Palm,4199 Mission St,2,Sidewalk: Curb side : Cutout,Private,5/4/95,1995,3,3X3,37.73019859,-122.4297089
24916,DPW Maintained,Syagrus romanzoffianum :: Queen Palm,3180 San Bruno Ave,1,Sidewalk: Curb side : Cutout,Private,3/14/96,1996,16,2X3,37.7219204,-122.4013296
24893,DPW Maintained,Syagrus romanzoffianum :: Queen Palm,3195 San Bruno Ave,1,Sidewalk: Curb side : Cutout,Private,3/14/96,1996,18,2X3,37.721902,-122.4011274
25731,Permitted Site,Phoenix canariensis :: Canary Island Date Palm,501X The Embarcadero,1,Median : Cutout,Port,8/15/96,1996,16,10,37.79918023,-122.397766
25744,Permitted Site,Phoenix canariensis :: Canary Island Date Palm,801X The Embarcadero,9,Median : Cutout,Port,8/15/96,1996,24,10,37.80207103,-122.4004557
25738,Permitted Site,Phoenix canariensis :: Canary Island Date Palm,801X The Embarcadero,3,Median : Cutout,Port,8/15/96,1996,24,10,37.80207103,-122.4004557
25745,Permitted Site,Phoenix canariensis :: Canary Island Date Palm,801X The Embarcadero,10,Median : Cutout,Port,8/15/96,1996,24,10,37.80207103,-122.4004557
25747,Permitted Site,Phoenix canariensis :: Canary Island Date Palm,1101X The Embarcadero,2,Median : Cutout,Port,8/30/96,1996,36,10,37.80402286,-122.4020604
25802,Permitted Site,Phoenix canariensis :: Canary Island Date Palm,1300X The Embarcadero,4,Median : Cutout,Port,8/30/96,1996,36,10,37.80608845,-122.4043754
25801,Permitted Site,Phoenix canariensis :: Canary Island Date Palm,1300X The Embarcadero,3,Median : Cutout,Port,8/30/96,1996,36,10,37.80608845,-122.4043754
25748,Permitted Site,Phoenix canariensis :: Canary Island Date Palm,1301X The Embarcadero,1,Median : Cutout,Port,8/30/96,1996,36,10,37.80585432,-122.404737
25749,Permitted Site,Phoenix canariensis :: Canary Island Date Palm,1301X The Embarcadero,2,Median : Cutout,Port,8/30/96,1996,36,10,37.80585432,-122.404737
25783,DPW Maintained,Phoenix canariensis :: Canary Island Date Palm,500X The Embarcadero,2,Median : Cutout,Port,8/30/96,1996,36,10,37.79722323,-122.3958078
25793,Permitted Site,Phoenix canariensis :: Canary Island Date Palm,800X The Embarcadero,7,Median : Cutout,Port,8/30/96,1996,36,10,37.80219354,-122.40036
25787,Permitted Site,Phoenix canariensis :: Canary Island Date Palm,800X The Embarcadero,1,Median : Cutout,Port,8/30/96,1996,36,10,37.80375563,-122.4017479
25792,Permitted Site,Phoenix canariensis :: Canary Island Date Palm,800X The Embarcadero,6,Median : Cutout,Port,8/30/96,1996,36,10,37.80239814,-122.4005366
25788,Permitted Site,Phoenix canariensis :: Canary Island Date Palm,800X The Embarcadero,2,Median : Cutout,Port,8/30/96,1996,36,10,37.8035371,-122.4015484
33556,DPW Maintained,Washingtonia robusta :: Mexican Fan Palm,2400 Fulton St,3,Sidewalk: Curb side : Cutout,Private,12/11/96,1996,12,,37.77459619,-122.4565324
33863,DPW Maintained,Syagrus romanzoffianum :: Queen Palm,281 Clara St,2,Sidewalk: Curb side : Cutout,Private,2/12/97,1997,9,,37.77803713,-122.4040964
34193,DPW Maintained,Syagrus romanzoffianum :: Queen Palm,353 Mississippi St,1,Sidewalk: Curb side : Cutout,Private,6/10/97,1997,11,,37.76166879,-122.3944055
26535,DPW Maintained,Phoenix canariensis :: Canary Island Date Palm,198 Dolores St,15,Median : Cutout,DPW,6/23/97,1997,70,20,37.76624081,-122.4266243
26536,DPW Maintained,Phoenix canariensis :: Canary Island Date Palm,794X Dolores St,3,Median : Cutout,DPW,6/23/97,1997,50,20,37.75665437,-122.4257503
25029,DPW Maintained,Phoenix spp :: Date palm (species unknown),700X Dolores St,4,Median : Cutout,DPW,6/23/97,1997,70,20,37.7579534,-122.4257556
34081,Permitted Site,Trachycarpus fortunei :: Windmill Palm,240 SHOTWELL ST,4,Sidewalk: Curb side : Cutout,Private,7/5/97,1997,6,3x3,37.76475112,-122.4164385
34980,Permitted Site,Syagrus romanzoffianum :: Queen Palm,204 Fair Oaks St,1,Sidewalk: Curb side : Cutout,Private,12/18/97,1997,6,4.5x6,37.75338898,-122.4242158
15738,DPW Maintained,Washingtonia robusta :: Mexican Fan Palm,4516 Mission St,1,Sidewalk: Curb side : Cutout,Private,12/18/97,1997,12,3X3,37.72555467,-122.4342628
35339,DPW Maintained,Syagrus romanzoffianum :: Queen Palm,740 Arkansas St,1,Sidewalk: Curb side : Cutout,Private,2/23/98,1998,9,,37.75663725,-122.3979702
36678,Permitted Site,Arecastrum romanzoffianum :: Queen Palm,99X ALBION ST,2,Sidewalk: Curb side : Cutout,Private,5/22/98,1998,16,3x3,37.76565186,-122.4231995
36677,Permitted Site,Arecastrum romanzoffianum :: Queen Palm,99X ALBION ST,5,Sidewalk: Curb side : Cutout,Private,5/22/98,1998,16,3x3,37.76565186,-122.4231995
37118,DPW Maintained,Cordyline australis :: Dracena Palm,4542 Irving St,2,Sidewalk: Curb side : Cutout,Private,6/1/98,1998,3,,37.76232329,-122.5069127
16686,DPW Maintained,Syagrus romanzoffianum :: Queen Palm,250X Noe St,2,Median : Cutout,DPW,6/6/98,1998,3,3X3,37.76508484,-122.4331811
38343,DPW Maintained,Cordyline australis :: Dracena Palm,1642 45th Ave,1,Sidewalk: Curb side : Cutout,Private,7/29/98,1998,6,,37.7559419,-122.5044579
38375,DPW Maintained,Cordyline australis :: Dracena Palm,3809 Noriega St,1,Sidewalk: Curb side : Cutout,Private,8/3/98,1998,2,,37.75289716,-122.5045826
39589,DPW Maintained,Archontophoenix cunninghamiana :: King Palm,1108 Rhode Island St,1,Sidewalk: Curb side : Cutout,Private,12/29/98,1998,8,,37.75583411,-122.4018195
40002,DPW Maintained,Syagrus romanzoffianum :: Queen Palm,881 Innes Ave,1,Sidewalk: Curb side : Cutout,Private,2/3/99,1999,8,,37.73172156,-122.3754563
27652,DPW Maintained,Chamaerops humilis :: Mediterranean Fan Palm,2830 Sloat Blvd,1,Median : Cutout,DPW,6/6/99,1999,12,4X4,37.7356291,-122.5045407
4166,DPW Maintained,Trachycarpus fortunei :: Windmill Palm,3771 Cesar Chavez St,1,Sidewalk: Curb side : Cutout,DPW,10/18/99,1999,3,3X3,37.74781328,-122.4241188
15742,DPW Maintained,Washingtonia robusta :: Mexican Fan Palm,4534 Mission St,1,Sidewalk: Curb side : Cutout,Private,11/22/99,1999,12,3X3,37.72544829,-122.4343417
41215,DPW Maintained,Cordyline australis :: Dracena Palm,1410 Jefferson St,1,Sidewalk: Curb side : Cutout,Private,11/30/99,1999,3,,37.80574217,-122.4358104
40575,DPW Maintained,Syagrus romanzoffianum :: Queen Palm,1745 Alameda St,8,Sidewalk: Curb side : Cutout,Private,6/20/00,2000,16,,37.76862793,-122.4022528
42979,DPW Maintained,Syagrus romanzoffianum :: Queen Palm,308 Oxford St,1,Sidewalk: Curb side : Cutout,Private,7/5/00,2000,10,,37.72596423,-122.4193796
